PERMNO,DATE,n,RET,b_mkt,alpha,ivol,tvol,R2,exret
80866,1/14/2005,247,1.52%,0.6586,0.0045,3.40%,3.89%,23.23%,1.48%
80866,1/21/2005,248,0.18%,0.6583,0.0045,3.40%,3.88%,23.22%,1.03%
80866,1/28/2005,249,-0.24%,0.6581,0.0045,3.39%,3.87%,23.21%,-0.44%
80900,1/7/2005,238,-5.00%,1.1945,-0.0028,16.39%,16.70%,3.74%,-1.89%
80900,1/14/2005,239,-6.32%,1.1944,-0.003,16.36%,16.67%,3.74%,-6.36%
80900,1/21/2005,240,0.00%,1.193,-0.003,16.32%,16.64%,3.74%,1.56%
80900,1/28/2005,241,1.12%,1.1932,-0.0029,16.29%,16.60%,3.74%,0.79%
80913,1/7/2005,246,-3.70%,0.6514,0.0064,5.00%,5.33%,12.13%,-2.03%
80913,1/14/2005,247,-2.50%,0.6514,0.0063,4.99%,5.32%,12.11%,-2.54%
80913,1/21/2005,248,-7.89%,0.6563,0.006,5.00%,5.34%,12.17%,-7.05%
80913,1/28/2005,249,2.34%,0.6566,0.006,5.00%,5.33%,12.18%,2.14%
80915,1/7/2005,191,,,,,,,
80915,1/14/2005,191,,,,,,,
80915,1/21/2005,191,,,,,,,
80915,1/28/2005,191,,,,,,,
80918,1/7/2005,246,-7.00%,2.5993,0.0076,13.76%,15.63%,22.46%,-0.18%
80918,1/14/2005,247,-4.20%,2.5992,0.0074,13.74%,15.60%,22.45%,-4.24%
80918,1/21/2005,248,6.95%,2.5929,0.0078,13.72%,15.57%,22.35%,10.39%
80918,1/28/2005,249,3.25%,2.5932,0.0078,13.70%,15.54%,22.35%,2.57%
80921,1/7/2005,246,-8.60%,2.3125,0.0006,7.96%,10.33%,40.68%,-2.55%
80921,1/14/2005,247,-2.89%,2.3124,0.0005,7.94%,10.31%,40.66%,-2.94%
80921,1/21/2005,248,0.62%,2.3101,0.0006,7.93%,10.29%,40.61%,3.68%
80921,1/28/2005,249,6.63%,2.311,0.0009,7.92%,10.28%,40.58%,6.02%
80924,1/7/2005,246,-6.82%,2.4293,0.0041,14.43%,16.01%,18.70%,-0.45%
80924,1/14/2005,247,-9.15%,2.4291,0.0037,14.42%,15.99%,18.67%,-9.20%
80924,1/21/2005,248,-9.61%,2.4335,0.0034,14.39%,15.97%,18.73%,-6.40%
80924,1/28/2005,249,11.49%,2.4351,0.0039,14.38%,15.95%,18.71%,10.85%
80926,1/7/2005,246,-8.37%,0.4052,0.0032,8.88%,8.95%,1.66%,-7.36%
80926,1/14/2005,247,3.47%,0.4052,0.0033,8.86%,8.94%,1.66%,3.43%
80926,1/21/2005,248,2.04%,0.4038,0.0034,8.85%,8.92%,1.65%,2.55%
80926,1/28/2005,249,2.93%,0.4042,0.0035,8.83%,8.90%,1.65%,2.79%
80928,1/7/2005,246,-3.44%,0.169,0.0091,10.80%,10.81%,0.20%,-3.05%
80928,1/14/2005,247,1.90%,0.169,0.0092,10.78%,10.79%,0.20%,1.86%
80928,1/21/2005,248,1.40%,0.1685,0.0092,10.76%,10.77%,0.20%,1.59%
80928,1/28/2005,249,-0.46%,0.1683,0.0091,10.74%,10.75%,0.20%,-0.54%
80932,1/7/2005,246,-2.31%,0.2609,0.0083,14.95%,14.97%,0.25%,-1.67%
80932,1/14/2005,247,0.39%,0.2609,0.0083,14.92%,14.94%,0.25%,0.35%
80932,1/21/2005,248,-0.78%,0.2617,0.0082,14.89%,14.91%,0.25%,-0.47%
80932,1/28/2005,249,-1.19%,0.2614,0.0081,14.86%,14.88%,0.25%,-1.29%
80942,1/7/2005,246,-6.21%,0.8312,0.0117,10.43%,10.70%,4.90%,-4.08%
80942,1/14/2005,247,-3.96%,0.8311,0.0114,10.41%,10.68%,4.90%,-4.00%
80942,1/21/2005,248,2.35%,0.8296,0.0115,10.39%,10.66%,4.88%,3.43%
80942,1/28/2005,249,2.40%,0.8298,0.0116,10.37%,10.64%,4.89%,2.16%
80943,1/7/2005,246,-15.17%,2.3704,0.0029,11.24%,13.12%,26.52%,-8.98%
80943,1/14/2005,247,-4.36%,2.3703,0.0027,11.22%,13.09%,26.50%,-4.41%
80943,1/21/2005,248,-9.95%,2.3748,0.0024,11.21%,13.08%,26.56%,-6.82%
80943,1/28/2005,249,0.12%,2.3747,0.0024,11.19%,13.06%,26.56%,-0.50%
80944,1/7/2005,246,-5.49%,0.666,0.0042,4.30%,4.70%,16.29%,-3.79%
80944,1/14/2005,247,1.27%,0.6661,0.0042,4.29%,4.69%,16.29%,1.23%
80944,1/21/2005,248,0.22%,0.6656,0.0042,4.29%,4.68%,16.28%,1.08%
80944,1/28/2005,249,-1.10%,0.6654,0.0042,4.28%,4.68%,16.26%,-1.31%
80946,1/7/2005,240,-17.29%,1.1428,0.0023,22.97%,23.19%,1.95%,-14.37%
80946,1/14/2005,241,-3.14%,1.1427,0.0021,22.92%,23.15%,1.95%,-3.18%
80946,1/21/2005,242,-14.03%,1.151,0.0016,22.89%,23.12%,1.98%,-12.54%
80946,1/28/2005,243,-12.13%,1.1489,0.0011,22.85%,23.08%,1.97%,-12.46%
80948,1/7/2005,246,-6.77%,0.0235,0.0039,3.65%,3.65%,0.03%,-6.78%
80948,1/14/2005,247,3.53%,0.0235,0.004,3.65%,3.65%,0.03%,3.49%
80948,1/21/2005,248,-2.57%,0.0255,0.0039,3.64%,3.65%,0.04%,-2.57%
80948,1/28/2005,249,-1.57%,0.0252,0.0038,3.64%,3.64%,0.04%,-1.62%
80951,1/7/2005,246,-1.36%,0.8655,0.0026,9.00%,9.33%,6.98%,0.89%
80951,1/14/2005,247,-2.54%,0.8654,0.0025,8.98%,9.32%,6.98%,-2.58%
80951,1/21/2005,248,9.38%,0.8588,0.0029,8.99%,9.31%,6.85%,10.50%
80951,1/28/2005,249,-0.95%,0.8586,0.0028,8.97%,9.30%,6.85%,-1.20%
80955,1/7/2005,246,5.69%,0.3442,0.0039,7.09%,7.16%,1.88%,6.58%
80955,1/14/2005,247,0.63%,0.3442,0.0039,7.08%,7.15%,1.88%,0.59%
80955,1/21/2005,248,-2.83%,0.346,0.0038,7.07%,7.14%,1.90%,-2.40%
80955,1/28/2005,249,-3.56%,0.3454,0.0037,7.06%,7.13%,1.89%,-3.69%
80957,1/7/2005,246,-9.66%,2.6657,0.0052,14.01%,15.94%,22.72%,-2.68%
80957,1/14/2005,247,-0.71%,2.6657,0.0051,13.98%,15.90%,22.72%,-0.76%
80957,1/21/2005,248,-4.49%,2.6666,0.005,13.95%,15.87%,22.75%,-0.96%
80957,1/28/2005,249,-3.76%,2.6659,0.0048,13.93%,15.84%,22.73%,-4.46%
80958,1/7/2005,246,0.82%,0.2382,0.0057,7.36%,7.40%,0.84%,1.41%
80958,1/14/2005,247,-0.16%,0.2382,0.0057,7.35%,7.38%,0.84%,-0.20%
80958,1/21/2005,248,-0.32%,0.2386,0.0057,7.34%,7.37%,0.85%,-0.04%
80958,1/28/2005,249,-5.06%,0.2377,0.0054,7.33%,7.36%,0.84%,-5.16%
80960,1/7/2005,245,-1.00%,0.2959,0.0029,4.41%,4.49%,3.54%,-0.26%
80960,1/14/2005,246,1.36%,0.2959,0.0029,4.40%,4.48%,3.54%,1.32%
80960,1/21/2005,247,-0.35%,0.2961,0.0029,4.39%,4.47%,3.55%,0.01%
80960,1/28/2005,248,-3.03%,0.2955,0.0028,4.38%,4.46%,3.53%,-3.14%
80962,1/7/2005,138,-1.72%,0.829,0.008,9.87%,10.10%,4.51%,0.42%
80962,1/14/2005,139,-4.68%,0.8303,0.0076,9.85%,10.08%,4.51%,-4.72%
80962,1/21/2005,140,-3.18%,0.8351,0.0074,9.81%,10.05%,4.57%,-2.11%
80962,1/28/2005,141,-0.11%,0.835,0.0073,9.78%,10.01%,4.57%,-0.36%
80969,1/7/2005,246,-9.03%,1.0846,0.0049,6.57%,7.26%,18.14%,-6.23%
80969,1/14/2005,247,2.32%,1.0846,0.0049,6.55%,7.24%,18.13%,2.28%
80969,1/21/2005,248,-2.79%,1.0858,0.0049,6.54%,7.23%,18.17%,-1.37%
80969,1/28/2005,249,8.28%,1.0869,0.0052,6.55%,7.23%,18.13%,7.97%
80971,1/7/2005,246,-5.26%,0.2743,0.0039,4.85%,4.91%,2.54%,-4.59%
80971,1/14/2005,247,4.68%,0.2744,0.0041,4.84%,4.91%,2.53%,4.64%
80971,1/21/2005,248,1.45%,0.2735,0.0041,4.83%,4.90%,2.52%,1.79%
80971,1/28/2005,249,2.46%,0.2738,0.0042,4.83%,4.89%,2.52%,2.35%
80987,1/7/2005,246,-7.50%,0.6876,0.0078,5.62%,5.95%,10.84%,-5.75%
80987,1/14/2005,247,2.22%,0.6877,0.0079,5.61%,5.94%,10.84%,2.18%
80987,1/21/2005,248,5.97%,0.6837,0.0081,5.61%,5.94%,10.69%,6.86%
80987,1/28/2005,249,-1.81%,0.6833,0.008,5.60%,5.93%,10.67%,-2.02%
80990,1/7/2005,246,0.26%,0.3804,0.0053,4.63%,4.75%,5.21%,1.23%
80990,1/14/2005,247,-0.26%,0.3804,0.0053,4.62%,4.74%,5.21%,-0.30%
80990,1/21/2005,248,-0.11%,0.3805,0.0053,4.61%,4.73%,5.21%,0.37%
80990,1/28/2005,249,-2.16%,0.3801,0.0052,4.60%,4.73%,5.20%,-2.29%
80993,1/7/2005,246,2.63%,1.4405,0.0041,10.45%,11.22%,13.38%,6.42%
80993,1/14/2005,247,-1.78%,1.4405,0.004,10.42%,11.20%,13.37%,-1.82%
80993,1/21/2005,248,-5.82%,1.4433,0.0038,10.41%,11.18%,13.42%,-3.93%
80993,1/28/2005,249,-2.56%,1.4428,0.0037,10.39%,11.16%,13.41%,-2.95%
80997,1/7/2005,130,-2.06%,1.4048,0.0063,8.62%,9.17%,11.72%,1.62%
80997,1/14/2005,131,-0.49%,1.4051,0.0062,8.58%,9.14%,11.73%,-0.53%
80997,1/21/2005,132,-2.77%,1.4086,0.0061,8.55%,9.11%,11.81%,-0.93%
80997,1/28/2005,133,-2.35%,1.4082,0.0059,8.52%,9.08%,11.79%,-2.73%
81001,1/7/2005,246,-6.16%,1.2871,0.006,11.18%,11.76%,9.72%,-2.81%
81001,1/14/2005,247,3.67%,1.2871,0.0061,11.16%,11.74%,9.72%,3.63%
81001,1/21/2005,248,-3.54%,1.2887,0.006,11.13%,11.72%,9.75%,-1.86%
81001,1/28/2005,249,-1.31%,1.2884,0.0059,11.11%,11.70%,9.74%,-1.67%
81002,1/7/2005,246,-3.55%,0.9672,0.0031,8.95%,9.37%,8.66%,-1.04%
81002,1/14/2005,247,0.00%,0.9672,0.0031,8.94%,9.35%,8.66%,-0.04%
81002,1/21/2005,248,0.57%,0.9662,0.0032,8.92%,9.33%,8.64%,1.83%
81002,1/28/2005,249,0.46%,0.9661,0.0032,8.90%,9.31%,8.64%,0.18%
81010,1/7/2005,246,3.04%,0.9135,0.0116,10.03%,10.37%,6.31%,5.43%
81010,1/14/2005,247,3.88%,0.9136,0.0117,10.01%,10.35%,6.31%,3.83%
81010,1/21/2005,248,-2.70%,0.9153,0.0116,10.00%,10.33%,6.33%,-1.51%
81010,1/28/2005,249,-2.75%,0.9147,0.0114,9.98%,10.31%,6.32%,-3.01%
81013,1/7/2005,246,-4.87%,1.7591,-0.0027,9.88%,11.08%,20.48%,-0.26%
81013,1/14/2005,247,0.00%,1.7591,-0.0027,9.86%,11.05%,20.48%,-0.04%
81013,1/21/2005,248,-3.26%,1.7596,-0.0027,9.84%,11.03%,20.50%,-0.94%
81013,1/28/2005,249,-10.10%,1.7581,-0.0032,9.84%,11.03%,20.40%,-10.57%
81019,1/7/2005,246,-0.22%,0.128,0.0041,3.33%,3.35%,1.19%,0.08%
81019,1/14/2005,247,0.54%,0.128,0.0041,3.32%,3.34%,1.19%,0.50%
81019,1/21/2005,248,-0.22%,0.1283,0.0041,3.32%,3.34%,1.19%,-0.08%
81019,1/28/2005,249,0.05%,0.1283,0.0041,3.31%,3.33%,1.19%,-0.02%
81020,1/7/2005,246,-0.55%,0.1711,0.0004,3.76%,3.79%,1.66%,-0.14%
81020,1/14/2005,247,2.33%,0.1711,0.0005,3.75%,3.78%,1.65%,2.29%
81020,1/21/2005,248,-0.85%,0.1716,0.0005,3.75%,3.78%,1.66%,-0.65%
81020,1/28/2005,249,-1.60%,0.1714,0.0004,3.74%,3.77%,1.66%,-1.68%
81022,1/7/2005,246,-1.50%,0.752,-0.0011,2.21%,3.08%,48.37%,0.45%
81022,1/14/2005,247,-0.35%,0.752,-0.0011,2.21%,3.08%,48.37%,-0.39%
81022,1/21/2005,248,1.18%,0.7506,-0.0011,2.21%,3.07%,48.19%,2.15%
81022,1/28/2005,249,-1.03%,0.7504,-0.0011,2.21%,3.06%,48.15%,-1.25%
81028,1/7/2005,246,-1.27%,0.7741,0.0101,13.76%,13.94%,2.50%,0.74%
81028,1/14/2005,247,-0.64%,0.774,0.01,13.73%,13.91%,2.50%,-0.68%
81028,1/21/2005,248,9.03%,0.7682,0.0104,13.72%,13.89%,2.47%,10.03%
81028,1/28/2005,249,3.55%,0.7685,0.0105,13.69%,13.86%,2.47%,3.32%
81029,1/7/2005,245,0.00%,-0.0782,0.0063,12.00%,12.00%,0.03%,-0.25%
81029,1/14/2005,246,0.00%,-0.0782,0.0062,11.98%,11.98%,0.03%,-0.04%
81029,1/21/2005,247,3.33%,-0.0798,0.0064,11.95%,11.96%,0.04%,3.20%
81029,1/28/2005,248,3.23%,-0.0795,0.0065,11.93%,11.93%,0.04%,3.21%
81030,1/7/2005,246,-0.55%,0.6168,0.0009,3.98%,4.35%,16.31%,1.05%
81030,1/14/2005,247,-1.83%,0.6168,0.0009,3.97%,4.34%,16.30%,-1.87%
81030,1/21/2005,248,-1.79%,0.6175,0.0008,3.97%,4.34%,16.34%,-1.00%
81030,1/28/2005,249,2.32%,0.6178,0.0009,3.96%,4.33%,16.34%,2.13%
81035,1/7/2005,246,-3.00%,0.8549,-0.0009,2.84%,3.74%,42.39%,-0.78%
81035,1/14/2005,247,0.39%,0.8549,-0.0009,2.83%,3.73%,42.39%,0.35%
81035,1/21/2005,248,-1.73%,0.8553,-0.0009,2.83%,3.73%,42.43%,-0.62%
81035,1/28/2005,249,0.78%,0.8554,-0.0009,2.82%,3.72%,42.43%,0.53%
81038,1/7/2005,246,-4.56%,0.2948,0.0101,5.58%,5.65%,2.21%,-3.84%
81038,1/14/2005,247,-3.49%,0.2947,0.01,5.58%,5.64%,2.21%,-3.53%
81038,1/21/2005,248,-0.80%,0.2957,0.0099,5.57%,5.63%,2.22%,-0.43%
81038,1/28/2005,249,1.82%,0.2958,0.0099,5.56%,5.62%,2.22%,1.71%
81040,1/7/2005,246,-6.04%,0.5332,0.0008,4.32%,4.58%,10.99%,-4.69%
81040,1/14/2005,247,8.52%,0.5334,0.0012,4.35%,4.61%,10.85%,8.48%
81040,1/21/2005,248,-0.52%,0.5334,0.0012,4.34%,4.60%,10.85%,0.16%
81040,1/28/2005,249,-1.34%,0.5331,0.0011,4.33%,4.59%,10.84%,-1.51%
81042,1/7/2005,246,9.85%,0.3046,0.0052,6.12%,6.19%,1.97%,10.65%
81042,1/14/2005,247,-3.59%,0.3045,0.005,6.12%,6.18%,1.96%,-3.63%
81042,1/21/2005,248,0.88%,0.3041,0.0051,6.10%,6.17%,1.96%,1.25%
81042,1/28/2005,249,-6.21%,0.3031,0.0048,6.11%,6.17%,1.94%,-6.33%
81043,1/7/2005,246,-3.01%,0.4042,0.0015,5.53%,5.65%,4.16%,-1.99%
81043,1/14/2005,247,1.24%,0.4042,0.0015,5.52%,5.63%,4.16%,1.20%
81043,1/21/2005,248,6.45%,0.3998,0.0018,5.52%,5.64%,4.05%,6.96%
81043,1/28/2005,249,-0.15%,0.3998,0.0018,5.51%,5.63%,4.05%,-0.29%
81044,1/7/2005,246,-7.43%,0.7681,0.0039,6.03%,6.41%,11.66%,-5.47%
81044,1/14/2005,247,8.71%,0.7683,0.0043,6.04%,6.42%,11.58%,8.67%
81044,1/21/2005,248,-0.31%,0.7681,0.0043,6.02%,6.41%,11.59%,0.68%
81044,1/28/2005,249,-0.90%,0.7679,0.0042,6.01%,6.39%,11.58%,-1.12%
81045,1/7/2005,246,-7.47%,0.2651,0.0045,2.36%,2.48%,9.28%,-6.84%
81045,1/14/2005,247,-0.34%,0.2651,0.0045,2.36%,2.47%,9.28%,-0.38%
81045,1/21/2005,248,1.11%,0.2644,0.0045,2.35%,2.47%,9.24%,1.44%
81045,1/28/2005,249,-1.48%,0.2641,0.0045,2.35%,2.47%,9.19%,-1.59%
81046,1/7/2005,246,0.27%,0.5849,0.001,4.11%,4.43%,14.14%,1.78%
81046,1/14/2005,247,-1.67%,0.5848,0.0009,4.10%,4.43%,14.13%,-1.71%
81046,1/21/2005,248,-1.42%,0.5853,0.0008,4.09%,4.42%,14.15%,-0.67%
81046,1/28/2005,249,1.47%,0.5855,0.0009,4.09%,4.41%,14.16%,1.29%
81048,1/7/2005,240,-1.09%,0.0594,-0.0015,6.58%,6.58%,0.07%,-0.98%
81048,1/14/2005,241,-1.66%,0.0593,-0.0016,6.57%,6.57%,0.07%,-1.70%
81048,1/21/2005,242,-3.37%,0.0613,-0.0017,6.56%,6.56%,0.07%,-3.32%
81048,1/28/2005,243,-7.27%,0.0602,-0.002,6.56%,6.56%,0.07%,-7.32%
81049,1/7/2005,246,-3.90%,0.193,0.0028,3.30%,3.35%,2.70%,-3.44%
81049,1/14/2005,247,0.65%,0.193,0.0028,3.29%,3.34%,2.70%,0.61%
81049,1/21/2005,248,3.63%,0.1907,0.0029,3.30%,3.34%,2.63%,3.85%
81049,1/28/2005,249,-0.65%,0.1905,0.0029,3.29%,3.33%,2.62%,-0.74%
81050,1/7/2005,246,-4.56%,0.281,0.0023,2.09%,2.24%,12.78%,-3.87%
81050,1/14/2005,247,-0.92%,0.2809,0.0022,2.09%,2.24%,12.76%,-0.96%
81050,1/21/2005,248,-2.82%,0.2827,0.0021,2.09%,2.24%,12.84%,-2.48%
81050,1/28/2005,249,1.57%,0.2829,0.0022,2.09%,2.24%,12.83%,1.46%
81055,1/7/2005,246,-2.67%,1.3777,0.0058,5.26%,6.56%,35.78%,0.93%
81055,1/14/2005,247,0.20%,1.3777,0.0058,5.25%,6.55%,35.78%,0.15%
81055,1/21/2005,248,-4.54%,1.3798,0.0056,5.24%,6.54%,35.83%,-2.74%
81055,1/28/2005,249,-0.98%,1.3795,0.0056,5.23%,6.53%,35.81%,-1.36%
81060,1/7/2005,246,0.25%,0.3742,0.0074,4.56%,4.68%,5.19%,1.20%
81060,1/14/2005,247,-0.49%,0.3742,0.0074,4.55%,4.67%,5.19%,-0.53%
81060,1/21/2005,248,0.50%,0.3741,0.0074,4.54%,4.66%,5.19%,0.96%
81060,1/28/2005,249,-1.48%,0.3737,0.0073,4.53%,4.66%,5.17%,-1.61%
81061,1/7/2005,246,-1.84%,0.6268,0.0033,5.35%,5.64%,10.03%,-0.23%
81061,1/14/2005,247,0.42%,0.6268,0.0033,5.34%,5.63%,10.03%,0.38%
81061,1/21/2005,248,-0.52%,0.6269,0.0033,5.33%,5.62%,10.03%,0.29%
81061,1/28/2005,249,8.72%,0.6281,0.0036,5.34%,5.63%,9.98%,8.53%
81062,1/7/2005,246,-0.23%,0.5282,0.0013,8.82%,8.95%,2.83%,1.12%
81062,1/14/2005,247,1.18%,0.5282,0.0014,8.81%,8.93%,2.83%,1.14%
81062,1/21/2005,248,1.16%,0.5271,0.0014,8.79%,8.92%,2.82%,1.84%
81062,1/28/2005,249,2.30%,0.5274,0.0015,8.77%,8.90%,2.82%,2.13%
81066,1/7/2005,246,3.63%,1.6756,0.0051,10.28%,11.34%,17.74%,8.03%
81066,1/14/2005,247,-5.44%,1.6755,0.0049,10.27%,11.32%,17.72%,-5.48%
81066,1/21/2005,248,-2.88%,1.6762,0.0048,10.25%,11.30%,17.74%,-0.67%
81066,1/28/2005,249,-2.65%,1.6757,0.0047,10.23%,11.28%,17.73%,-3.10%
81067,1/7/2005,246,-0.58%,0.4008,0.0015,8.60%,8.68%,1.73%,0.44%
81067,1/14/2005,247,4.11%,0.4008,0.0016,8.59%,8.67%,1.73%,4.07%
81067,1/21/2005,248,2.07%,0.3993,0.0017,8.57%,8.65%,1.72%,2.57%
81067,1/28/2005,249,6.81%,0.4002,0.002,8.57%,8.64%,1.72%,6.68%
81071,1/7/2005,246,-6.01%,0.5046,0.0061,4.30%,4.54%,10.05%,-4.74%
81071,1/14/2005,247,0.53%,0.5046,0.0061,4.29%,4.53%,10.05%,0.49%
81071,1/21/2005,248,-1.39%,0.5055,0.0061,4.29%,4.52%,10.08%,-0.75%
81071,1/28/2005,249,3.23%,0.5059,0.0062,4.28%,4.51%,10.08%,3.07%
81073,1/7/2005,246,-3.52%,0.4138,0.0099,11.67%,11.72%,1.01%,-2.48%
81073,1/14/2005,247,6.06%,0.4139,0.0101,11.65%,11.71%,1.01%,6.02%
81073,1/21/2005,248,-3.70%,0.4166,0.0099,11.63%,11.69%,1.02%,-3.18%
81073,1/28/2005,249,0.53%,0.4165,0.0099,11.60%,11.66%,1.02%,0.39%
81078,1/7/2005,246,-5.66%,0.3317,0.0074,8.18%,8.24%,1.32%,-4.84%
81078,1/14/2005,247,-4.50%,0.3316,0.0072,8.17%,8.23%,1.31%,-4.54%
81078,1/21/2005,248,7.12%,0.3272,0.0074,8.17%,8.22%,1.28%,7.53%
81078,1/28/2005,249,2.35%,0.3274,0.0075,8.15%,8.20%,1.28%,2.23%
81084,1/7/2005,246,11.11%,0.7184,0.0057,13.18%,13.33%,2.36%,13.01%
81084,1/14/2005,247,-3.00%,0.7183,0.0055,13.15%,13.31%,2.36%,-3.04%
81084,1/21/2005,248,5.15%,0.7147,0.0057,13.13%,13.29%,2.33%,6.08%
81084,1/28/2005,249,-8.82%,0.7133,0.0054,13.12%,13.27%,2.32%,-9.04%
81087,1/7/2005,246,-0.80%,0.0943,0.0005,6.53%,6.53%,0.17%,-0.59%
81087,1/14/2005,247,0.54%,0.0943,0.0005,6.51%,6.52%,0.17%,0.50%
81087,1/21/2005,248,-1.80%,0.0954,0.0005,6.50%,6.51%,0.17%,-1.71%
81087,1/28/2005,249,1.31%,0.0956,0.0005,6.49%,6.49%,0.17%,1.25%
81095,1/7/2005,246,-9.53%,0.54,0.006,5.29%,5.51%,7.81%,-8.17%
81095,1/14/2005,247,-0.70%,0.54,0.0059,5.28%,5.50%,7.81%,-0.75%
81095,1/21/2005,248,-0.62%,0.5403,0.0059,5.27%,5.49%,7.82%,0.07%
81095,1/28/2005,249,-0.18%,0.5402,0.0059,5.26%,5.47%,7.82%,-0.36%
81097,1/7/2005,246,28.99%,1.2323,-0.0019,10.32%,10.90%,10.38%,32.31%
81097,1/14/2005,247,-12.92%,1.232,-0.0024,10.33%,10.91%,10.32%,-12.96%
81097,1/21/2005,248,9.03%,1.2249,-0.002,10.33%,10.90%,10.18%,10.64%
81097,1/28/2005,249,-10.65%,1.2234,-0.0024,10.33%,10.90%,10.12%,-10.99%
81098,1/7/2005,246,-16.23%,1.5587,0.0011,10.98%,11.85%,14.05%,-12.20%
81098,1/14/2005,247,-6.46%,1.5585,0.0008,10.97%,11.83%,14.03%,-6.50%
81098,1/21/2005,248,-6.49%,1.5615,0.0006,10.95%,11.82%,14.08%,-4.44%
81098,1/28/2005,249,-7.61%,1.5603,0.0003,10.94%,11.80%,14.03%,-8.03%
81103,1/7/2005,246,-0.43%,0.493,0.0137,11.73%,11.81%,1.41%,0.83%
81103,1/14/2005,247,0.01%,0.4929,0.0137,11.70%,11.79%,1.41%,-0.03%
81103,1/21/2005,248,-0.98%,0.4941,0.0136,11.68%,11.76%,1.42%,-0.35%
81103,1/28/2005,249,2.68%,0.4942,0.0137,11.66%,11.74%,1.42%,2.51%
81109,1/7/2005,246,-15.64%,0.8762,0.0057,11.62%,11.88%,4.41%,-13.42%
81109,1/14/2005,247,-3.04%,0.8761,0.0055,11.60%,11.86%,4.41%,-3.08%
81109,1/21/2005,248,-5.64%,0.8794,0.0053,11.58%,11.84%,4.44%,-4.51%
81109,1/28/2005,249,12.62%,0.8811,0.0058,11.58%,11.85%,4.44%,12.37%
81110,1/7/2005,246,1.19%,0.2733,0.0017,5.73%,5.78%,1.81%,1.88%
81110,1/14/2005,247,11.76%,0.2736,0.0022,5.77%,5.82%,1.79%,11.72%
81110,1/21/2005,248,-5.26%,0.2769,0.002,5.76%,5.82%,1.83%,-4.93%
81110,1/28/2005,249,0.00%,0.2769,0.002,5.75%,5.80%,1.83%,-0.11%
81116,1/7/2005,246,-11.72%,2.7026,0.0018,9.46%,12.20%,39.88%,-4.65%
81116,1/14/2005,247,-0.54%,2.7025,0.0018,9.44%,12.17%,39.88%,-0.58%
81116,1/21/2005,248,-3.62%,2.7027,0.0018,9.42%,12.15%,39.90%,-0.05%
81116,1/28/2005,249,-3.87%,2.702,0.0016,9.40%,12.13%,39.86%,-4.58%
81119,1/7/2005,246,-4.45%,1.139,-0.0007,7.40%,8.08%,16.14%,-1.49%
81119,1/14/2005,247,-1.78%,1.139,-0.0007,7.39%,8.06%,16.13%,-1.83%
81119,1/21/2005,248,3.13%,1.136,-0.0005,7.38%,8.05%,16.05%,4.62%
81119,1/28/2005,249,0.68%,1.136,-0.0005,7.36%,8.03%,16.05%,0.37%
81120,1/7/2005,245,-3.20%,0.4037,0.0049,3.16%,3.36%,11.77%,-2.18%
81120,1/14/2005,246,-0.79%,0.4037,0.0049,3.15%,3.35%,11.76%,-0.83%
81120,1/21/2005,247,-0.01%,0.4037,0.0049,3.14%,3.35%,11.77%,0.49%
81120,1/28/2005,248,2.88%,0.404,0.005,3.14%,3.34%,11.77%,2.74%
81121,1/7/2005,246,-3.53%,1.2047,-0.002,5.05%,6.11%,31.57%,-0.39%
81121,1/14/2005,247,-0.69%,1.2046,-0.002,5.04%,6.10%,31.57%,-0.73%
81121,1/21/2005,248,-0.48%,1.2038,-0.002,5.03%,6.08%,31.55%,1.10%
81121,1/28/2005,249,2.31%,1.2041,-0.0019,5.03%,6.07%,31.55%,1.97%
81124,1/7/2005,246,-4.00%,0.8456,0.0118,10.84%,11.11%,4.71%,-1.82%
81124,1/14/2005,247,0.00%,0.8456,0.0117,10.82%,11.09%,4.71%,-0.04%
81124,1/21/2005,248,1.39%,0.8448,0.0118,10.80%,11.06%,4.70%,2.49%
81124,1/28/2005,249,3.84%,0.8451,0.0119,10.78%,11.04%,4.70%,3.59%
81125,1/7/2005,246,-9.05%,1.2417,0.0044,6.19%,7.13%,24.65%,-5.83%
81125,1/14/2005,247,-1.09%,1.2417,0.0043,6.17%,7.11%,24.64%,-1.13%
81125,1/21/2005,248,2.12%,1.2395,0.0045,6.17%,7.10%,24.57%,3.75%
81125,1/28/2005,249,-1.20%,1.2393,0.0044,6.15%,7.09%,24.56%,-1.54%
81126,1/7/2005,246,-0.28%,0.6493,0.0017,5.17%,5.49%,11.34%,1.40%
81126,1/14/2005,247,-0.65%,0.6493,0.0017,5.16%,5.48%,11.34%,-0.69%
81126,1/21/2005,248,-0.70%,0.6493,0.0017,5.15%,5.47%,11.35%,0.13%
81126,1/28/2005,249,1.96%,0.6496,0.0017,5.14%,5.46%,11.35%,1.76%
81127,1/7/2005,246,-2.04%,0.4609,-0.0022,6.23%,6.36%,4.26%,-0.87%
81127,1/14/2005,247,6.62%,0.4611,-0.0019,6.23%,6.37%,4.24%,6.58%
81127,1/21/2005,248,-3.15%,0.4626,-0.002,6.22%,6.36%,4.27%,-2.57%
81127,1/28/2005,249,8.79%,0.4639,-0.0017,6.23%,6.37%,4.26%,8.63%
81128,1/7/2005,246,-3.26%,1.062,0.0115,7.71%,8.28%,13.35%,-0.50%
