PERMNO,DATE,n,RET,b_mkt,alpha,ivol,tvol,R2,exret
10200,1/7/2005,246,-8.33%,1.8401,0.0015,11.38%,12.53%,17.52%,-3.53%
10200,1/14/2005,247,7.95%,1.8403,0.0018,11.37%,12.51%,17.49%,7.91%
10200,1/21/2005,248,-16.14%,1.8493,0.0013,11.38%,12.53%,17.56%,-13.72%
10200,1/28/2005,249,-10.04%,1.8477,0.0009,11.37%,12.52%,17.48%,-10.54%
10205,1/7/2005,246,0.59%,0.3284,0.0049,3.41%,3.54%,6.99%,1.42%
10205,1/14/2005,247,6.76%,0.3285,0.0052,3.43%,3.56%,6.90%,6.72%
10205,1/21/2005,248,-0.70%,0.329,0.0051,3.42%,3.55%,6.93%,-0.30%
10205,1/28/2005,249,-5.06%,0.3282,0.0049,3.44%,3.56%,6.83%,-5.18%
10207,1/7/2005,246,-10.73%,0.5772,0.0045,3.33%,3.71%,19.65%,-9.28%
10207,1/14/2005,247,2.99%,0.5772,0.0046,3.32%,3.71%,19.62%,2.95%
10207,1/21/2005,248,1.97%,0.5758,0.0047,3.32%,3.70%,19.52%,2.71%
10207,1/28/2005,249,1.83%,0.5759,0.0047,3.31%,3.69%,19.53%,1.65%
10211,1/7/2005,246,-0.30%,0.5919,0.0069,5.14%,5.41%,9.73%,1.22%
10211,1/14/2005,247,-0.50%,0.5919,0.0068,5.13%,5.40%,9.73%,-0.54%
10211,1/21/2005,248,-0.90%,0.5924,0.0068,5.12%,5.39%,9.75%,-0.14%
10211,1/28/2005,249,1.53%,0.5925,0.0068,5.11%,5.37%,9.76%,1.34%
10225,1/7/2005,246,-1.14%,0.438,0.0056,3.69%,3.90%,10.25%,-0.03%
10225,1/14/2005,247,0.13%,0.438,0.0056,3.68%,3.89%,10.25%,0.09%
10225,1/21/2005,248,4.59%,0.435,0.0058,3.69%,3.89%,10.08%,5.15%
10225,1/28/2005,249,3.20%,0.4354,0.0059,3.68%,3.89%,10.08%,3.06%
10232,1/7/2005,246,-1.50%,0.0522,0.004,3.47%,3.47%,0.18%,-1.41%
